PID: 0, TP: 112, CP: 113, Estado: BLOQUEADO, NES: 1, N_CPU: 1
PID: 1, TP: 43, CP: 44, Estado: BLOQUEADO, NES: 1, N_CPU: 1
PID: 2, TP: 221, CP: 222, Estado: BLOQUEADO, NES: 1, N_CPU: 1
PID: 3, TP: 107, CP: 108, Estado: BLOQUEADO, NES: 1, N_CPU: 1
PID: 4, TP: 133, CP: 134, Estado: BLOQUEADO, NES: 1, N_CPU: 1
PID: 5, TP: 10, CP: 11, Estado: BLOQUEADO, NES: 1, N_CPU: 1
PID: 6, TP: 100, CP: 101, Estado: BLOQUEADO, NES: 1, N_CPU: 1
PID: 7, TP: 41, CP: 42, Estado: BLOQUEADO, NES: 1, N_CPU: 1
PID: 8, TP: 334, CP: 335, Estado: BLOQUEADO, NES: 1, N_CPU: 1
PID: 9, TP: 111, CP: 112, Estado: BLOQUEADO, NES: 1, N_CPU: 1
PID: 0, TP: 335, CP: 336, Estado: BLOQUEADO, NES: 2, N_CPU: 2
PID: 1, TP: 60, CP: 61, Estado: BLOQUEADO, NES: 2, N_CPU: 2
PID: 2, TP: 228, CP: 229, Estado: BLOQUEADO, NES: 2, N_CPU: 2
PID: 3, TP: 166, CP: 167, Estado: BLOQUEADO, NES: 2, N_CPU: 2
PID: 4, TP: 196, CP: 197, Estado: BLOQUEADO, NES: 2, N_CPU: 2
PID: 5, TP: 45, CP: 46, Estado: BLOQUEADO, NES: 2, N_CPU: 2
PID: 6, TP: 154, CP: 155, Estado: BLOQUEADO, NES: 2, N_CPU: 2
PID: 7, TP: 113, CP: 114, Estado: BLOQUEADO, NES: 2, N_CPU: 2
PID: 8, TP: 386, CP: 387, Estado: BLOQUEADO, NES: 2, N_CPU: 2
PID: 9, TP: 358, CP: 359, Estado: BLOQUEADO, NES: 2, N_CPU: 2
PID: 0, TP: 571, CP: 572, Estado: BLOQUEADO, NES: 3, N_CPU: 3
PID: 1, TP: 143, CP: 144, Estado: BLOQUEADO, NES: 3, N_CPU: 3
PID: 2, TP: 403, CP: 404, Estado: BLOQUEADO, NES: 3, N_CPU: 3
PID: 3, TP: 179, CP: 180, Estado: BLOQUEADO, NES: 3, N_CPU: 3
PID: 4, TP: 255, CP: 256, Estado: BLOQUEADO, NES: 3, N_CPU: 3
PID: 5, TP: 66, CP: 67, Estado: BLOQUEADO, NES: 3, N_CPU: 3
PID: 6, TP: 658, CP: 659, Estado: BLOQUEADO, NES: 3, N_CPU: 3
PID: 7, TP: 137, CP: 138, Estado: BLOQUEADO, NES: 3, N_CPU: 3
PID: 8, TP: 511, CP: 512, Estado: BLOQUEADO, NES: 3, N_CPU: 3
PID: 9, TP: 370, CP: 371, Estado: BLOQUEADO, NES: 3, N_CPU: 3
PID: 0, TP: 846, CP: 847, Estado: BLOQUEADO, NES: 4, N_CPU: 4
PID: 1, TP: 342, CP: 343, Estado: BLOQUEADO, NES: 4, N_CPU: 4
PID: 2, TP: 664, CP: 665, Estado: BLOQUEADO, NES: 4, N_CPU: 4
PID: 3, TP: 367, CP: 368, Estado: BLOQUEADO, NES: 4, N_CPU: 4
PID: 4, TP: 354, CP: 355, Estado: BLOQUEADO, NES: 4, N_CPU: 4
PID: 5, TP: 104, CP: 105, Estado: BLOQUEADO, NES: 4, N_CPU: 4
PID: 6, TP: 730, CP: 731, Estado: BLOQUEADO, NES: 4, N_CPU: 4
PID: 7, TP: 200, CP: 201, Estado: BLOQUEADO, NES: 4, N_CPU: 4
PID: 8, TP: 524, CP: 525, Estado: BLOQUEADO, NES: 4, N_CPU: 4
PID: 9, TP: 391, CP: 392, Estado: BLOQUEADO, NES: 4, N_CPU: 4
PID: 0, TP: 849, CP: 850, Estado: BLOQUEADO, NES: 5, N_CPU: 5
PID: 1, TP: 354, CP: 355, Estado: BLOQUEADO, NES: 5, N_CPU: 5
PID: 2, TP: 692, CP: 693, Estado: BLOQUEADO, NES: 5, N_CPU: 5
PID: 3, TP: 654, CP: 655, Estado: BLOQUEADO, NES: 5, N_CPU: 5
PID: 4, TP: 425, CP: 426, Estado: BLOQUEADO, NES: 5, N_CPU: 5
PID: 5, TP: 130, CP: 131, Estado: BLOQUEADO, NES: 5, N_CPU: 5
PID: 6, TP: 809, CP: 810, Estado: BLOQUEADO, NES: 5, N_CPU: 5
PID: 7, TP: 320, CP: 321, Estado: BLOQUEADO, NES: 5, N_CPU: 5
PID: 8, TP: 619, CP: 620, Estado: BLOQUEADO, NES: 5, N_CPU: 5
PID: 9, TP: 519, CP: 520, Estado: BLOQUEADO, NES: 5, N_CPU: 5
PID: 0, TP: 878, CP: 879, Estado: BLOQUEADO, NES: 6, N_CPU: 6
PID: 1, TP: 369, CP: 370, Estado: BLOQUEADO, NES: 6, N_CPU: 6
PID: 2, TP: 714, CP: 715, Estado: BLOQUEADO, NES: 6, N_CPU: 6
PID: 3, TP: 705, CP: 706, Estado: BLOQUEADO, NES: 6, N_CPU: 6
PID: 4, TP: 700, CP: 701, Estado: BLOQUEADO, NES: 6, N_CPU: 6
PID: 5, TP: 232, CP: 233, Estado: BLOQUEADO, NES: 6, N_CPU: 6
PID: 6, TP: 861, CP: 862, Estado: BLOQUEADO, NES: 6, N_CPU: 6
PID: 7, TP: 396, CP: 397, Estado: BLOQUEADO, NES: 6, N_CPU: 6
PID: 8, TP: 700, CP: 701, Estado: BLOQUEADO, NES: 6, N_CPU: 6
PID: 9, TP: 573, CP: 574, Estado: BLOQUEADO, NES: 6, N_CPU: 6
PID: 0, TP: 911, CP: 912, Estado: BLOQUEADO, NES: 7, N_CPU: 7
PID: 1, TP: 375, CP: 376, Estado: BLOQUEADO, NES: 7, N_CPU: 7
PID: 2, TP: 771, CP: 772, Estado: BLOQUEADO, NES: 7, N_CPU: 7
PID: 3, TP: 807, CP: 808, Estado: BLOQUEADO, NES: 7, N_CPU: 7
PID: 4, TP: 723, CP: 724, Estado: BLOQUEADO, NES: 7, N_CPU: 7
PID: 5, TP: 320, CP: 321, Estado: BLOQUEADO, NES: 7, N_CPU: 7
PID: 6, TP: 901, CP: 902, Estado: BLOQUEADO, NES: 7, N_CPU: 7
PID: 7, TP: 776, CP: 777, Estado: BLOQUEADO, NES: 7, N_CPU: 7
PID: 8, TP: 739, CP: 740, Estado: BLOQUEADO, NES: 7, N_CPU: 7
PID: 9, TP: 596, CP: 597, Estado: BLOQUEADO, NES: 7, N_CPU: 7
PID: 0, TP: 1207, CP: 1208, Estado: BLOQUEADO, NES: 8, N_CPU: 8
PID: 1, TP: 692, CP: 693, Estado: BLOQUEADO, NES: 8, N_CPU: 8
PID: 2, TP: 979, CP: 980, Estado: BLOQUEADO, NES: 8, N_CPU: 8
PID: 3, TP: 884, CP: 885, Estado: BLOQUEADO, NES: 8, N_CPU: 8
PID: 4, TP: 768, CP: 769, Estado: BLOQUEADO, NES: 8, N_CPU: 8
PID: 5, TP: 585, CP: 586, Estado: BLOQUEADO, NES: 8, N_CPU: 8
PID: 6, TP: 1018, CP: 1019, Estado: BLOQUEADO, NES: 8, N_CPU: 8
PID: 7, TP: 940, CP: 941, Estado: BLOQUEADO, NES: 8, N_CPU: 8
PID: 8, TP: 1082, CP: 1083, Estado: BLOQUEADO, NES: 8, N_CPU: 8
PID: 9, TP: 598, CP: 599, Estado: BLOQUEADO, NES: 8, N_CPU: 8
PID: 0, TP: 1269, CP: 1270, Estado: BLOQUEADO, NES: 9, N_CPU: 9
PID: 1, TP: 704, CP: 705, Estado: BLOQUEADO, NES: 9, N_CPU: 9
PID: 2, TP: 1034, CP: 1035, Estado: BLOQUEADO, NES: 9, N_CPU: 9
PID: 3, TP: 1079, CP: 1080, Estado: BLOQUEADO, NES: 9, N_CPU: 9
PID: 4, TP: 892, CP: 893, Estado: BLOQUEADO, NES: 9, N_CPU: 9
PID: 5, TP: 776, CP: 777, Estado: BLOQUEADO, NES: 9, N_CPU: 9
PID: 6, TP: 1313, CP: 1314, Estado: BLOQUEADO, NES: 9, N_CPU: 9
PID: 7, TP: 1236, CP: 1237, Estado: BLOQUEADO, NES: 9, N_CPU: 9
PID: 8, TP: 1086, CP: 1087, Estado: BLOQUEADO, NES: 9, N_CPU: 9
PID: 9, TP: 838, CP: 839, Estado: BLOQUEADO, NES: 9, N_CPU: 9
